#{"t_start": 1774698399.128374, "env_id": "ALE/Breakout-v5"}
r,l,t
10.0,457,1274.002138
14.0,630,1277.015561
11.0,567,1279.741656
9.0,439,1282.598707
12.0,503,1284.995826
9.0,482,1287.275147
13.0,490,1289.621228
11.0,558,1292.236775
7.0,403,1294.727628
16.0,600,1297.769542
15.0,571,1300.430365
11.0,539,1302.942039
9.0,341,1304.527519
9.0,489,1307.168232
9.0,469,1309.653344
9.0,475,1311.786449
9.0,450,1313.811984
12.0,580,1316.373628
