global_step,episode,episode_return,episode_length,epsilon,loss
3390,349,0.0,6,0.967795,nan
3406,350,1.0,16,0.967643,nan
3412,351,0.0,6,0.9675860000000001,nan
3418,352,0.0,6,0.967529,nan
3424,353,0.0,6,0.967472,nan
3430,354,0.0,6,0.967415,nan
3446,355,1.0,16,0.967263,nan
3474,356,2.0,28,0.966997,nan
3480,357,0.0,6,0.96694,nan
3486,358,0.0,6,0.966883,nan
3502,359,1.0,16,0.966731,nan
3508,360,0.0,6,0.966674,nan
3514,361,0.0,6,0.9666170000000001,nan
3520,362,0.0,6,0.96656,nan
3526,363,0.0,6,0.966503,nan
3532,364,0.0,6,0.966446,nan
3538,365,0.0,6,0.9663889999999999,nan
3544,366,0.0,6,0.966332,nan
3550,367,0.0,6,0.966275,nan
3556,368,0.0,6,0.966218,nan
3562,369,0.0,6,0.966161,nan
3568,370,0.0,6,0.966104,nan
3574,371,0.0,6,0.966047,nan
3580,372,0.0,6,0.96599,nan
3586,373,0.0,6,0.965933,nan
3592,374,0.0,6,0.965876,nan
3598,375,0.0,6,0.965819,nan
3604,376,0.0,6,0.965762,nan
3620,377,1.0,16,0.96561,nan
3636,378,1.0,16,0.965458,nan
3642,379,0.0,6,0.965401,nan
3658,380,1.0,16,0.965249,nan
3664,381,0.0,6,0.965192,nan
3670,382,0.0,6,0.965135,nan
3676,383,0.0,6,0.965078,nan
3682,384,0.0,6,0.965021,nan
3688,385,0.0,6,0.964964,nan
3704,386,1.0,16,0.964812,nan
3710,387,0.0,6,0.964755,nan
3716,388,0.0,6,0.964698,nan
3732,389,1.0,16,0.964546,nan
3738,390,0.0,6,0.964489,nan
3744,391,0.0,6,0.964432,nan
3750,392,0.0,6,0.964375,nan
3756,393,0.0,6,0.964318,nan
3762,394,0.0,6,0.964261,nan
3768,395,0.0,6,0.9642040000000001,nan
3774,396,0.0,6,0.964147,nan
3780,397,0.0,6,0.96409,nan
3786,398,0.0,6,0.964033,nan
3792,399,0.0,6,0.9639759999999999,nan
3798,400,0.0,6,0.963919,nan
3804,401,0.0,6,0.963862,nan
3820,402,1.0,16,0.96371,nan
3826,403,0.0,6,0.963653,nan
3832,404,0.0,6,0.963596,nan
3838,405,0.0,6,0.963539,nan
3844,406,0.0,6,0.963482,nan
3860,407,1.0,16,0.96333,nan
3866,408,0.0,6,0.963273,nan
3882,409,1.0,16,0.963121,nan
3920,410,3.0,38,0.9627600000000001,nan
3936,411,1.0,16,0.962608,nan
3942,412,0.0,6,0.962551,nan
3958,413,1.0,16,0.962399,nan
3974,414,1.0,16,0.962247,nan
3990,415,1.0,16,0.962095,nan
3996,416,0.0,6,0.962038,nan
4002,417,0.0,6,0.961981,nan
4028,418,2.0,26,0.961734,nan
4044,419,1.0,16,0.961582,nan
4060,420,1.0,16,0.96143,nan
4066,421,0.0,6,0.961373,nan
4072,422,0.0,6,0.9613160000000001,nan
4078,423,0.0,6,0.961259,nan
4106,424,2.0,28,0.960993,nan
4122,425,1.0,16,0.9608410000000001,nan
4138,426,1.0,16,0.960689,nan
4154,427,1.0,16,0.960537,nan
4160,428,0.0,6,0.96048,nan
4166,429,0.0,6,0.960423,nan
4172,430,0.0,6,0.960366,nan
4188,431,1.0,16,0.960214,nan
4194,432,0.0,6,0.960157,nan
4200,433,0.0,6,0.9601,nan
4206,434,0.0,6,0.960043,nan
4222,435,1.0,16,0.959891,nan
4228,436,0.0,6,0.959834,nan
4234,437,0.0,6,0.959777,nan
4240,438,0.0,6,0.95972,nan
4246,439,0.0,6,0.959663,nan
4252,440,0.0,6,0.959606,nan
4258,441,0.0,6,0.959549,nan
4264,442,0.0,6,0.959492,nan
4290,443,2.0,26,0.959245,nan
