generation,mean_population_return,std_population_return,best_population_return,global_interactions_est
49,0.46666666865348816,0.5713465213775635,2.0,1470
50,0.46666666865348816,0.5713465213775635,2.0,1500
51,0.5333333611488342,0.5074162483215332,1.0,1530
52,0.6000000238418579,0.4982728660106659,1.0,1560
53,0.36666667461395264,0.49013248085975647,1.0,1590
54,0.4333333373069763,0.5040069818496704,1.0,1620
55,0.46666666865348816,0.5074162483215332,1.0,1650
56,0.36666667461395264,0.4901324510574341,1.0,1680
57,0.4000000059604645,0.4982728958129883,1.0,1710
58,0.5,0.5085476040840149,1.0,1740
59,0.5,0.5085476040840149,1.0,1770
60,0.5,0.5085476040840149,1.0,1800
61,0.5,0.5085476040840149,1.0,1830
62,0.5333333611488342,0.5074162483215332,1.0,1860
63,0.46666666865348816,0.5074162483215332,1.0,1890
64,0.46666666865348816,0.5074162483215332,1.0,1920
65,0.6333333253860474,0.49013248085975647,1.0,1950
66,0.6000000238418579,0.4982728660106659,1.0,1980
67,0.46666666865348816,0.5074162483215332,1.0,2010
68,0.5666666626930237,0.5040069818496704,1.0,2040
69,0.5666666626930237,0.5040069818496704,1.0,2070
70,0.6000000238418579,0.5632418394088745,2.0,2100
71,0.4333333373069763,0.5683207511901855,2.0,2130
72,0.5666666626930237,0.5683207511901855,2.0,2160
73,0.4000000059604645,0.5632418394088745,2.0,2190
74,0.4333333373069763,0.5040069818496704,1.0,2220
75,0.5666666626930237,0.5040069818496704,1.0,2250
76,0.6000000238418579,0.5632418394088745,2.0,2280
77,0.5,0.6297235488891602,2.0,2310
78,0.4333333373069763,0.5683207511901855,2.0,2340
79,0.4333333373069763,0.626062273979187,2.0,2370
80,0.5333333611488342,0.5713465213775635,2.0,2400
81,0.6333333253860474,0.6149478554725647,2.0,2430
82,0.7666666507720947,0.6789106130599976,2.0,2460
83,0.6000000238418579,0.7239736318588257,2.0,2490
84,0.6666666865348816,0.5466722846031189,2.0,2520
85,0.699999988079071,0.7943767309188843,2.0,2550
86,0.8666666746139526,0.7760791778564453,2.0,2580
87,0.6333333253860474,0.6686751246452332,2.0,2610
88,0.5,0.6297235488891602,2.0,2640
89,0.6000000238418579,0.6214554309844971,2.0,2670
90,0.5333333611488342,0.7760791778564453,2.0,2700
91,0.5666666626930237,0.626062273979187,2.0,2730
92,0.6000000238418579,0.8136761784553528,2.0,2760
93,0.8666666746139526,0.8193073272705078,2.0,2790
94,0.800000011920929,0.6643638610839844,2.0,2820
95,0.5666666626930237,0.678910493850708,2.0,2850
96,0.7666666507720947,0.6789105534553528,2.0,2880
97,0.8333333134651184,0.6477193236351013,2.0,2910
98,0.6666666865348816,0.7111589908599854,2.0,2940
99,0.7666666507720947,0.6789106130599976,2.0,2970
100,0.800000011920929,0.8051558136940002,2.0,3000
101,0.8666666746139526,0.6814453601837158,2.0,3030
102,0.7333333492279053,0.6914917826652527,2.0,3060
103,0.8666666746139526,0.6814453601837158,2.0,3090
104,0.9666666388511658,0.7183953523635864,2.0,3120
105,0.9333333373069763,0.7396798729896545,2.0,3150
106,1.0333333015441895,0.7648904919624329,2.0,3180
107,0.6666666865348816,0.7111589908599854,2.0,3210
108,0.9666666388511658,0.7183953523635864,2.0,3240
109,1.100000023841858,0.7588557600975037,2.0,3270
110,0.8666666746139526,0.6814453601837158,2.0,3300
111,1.0,0.8304548263549805,2.0,3330
112,1.0333333015441895,0.8502873778343201,3.0,3360
113,1.2666666507720947,0.7396799325942993,2.0,3390
114,0.8333333134651184,0.698931872844696,2.0,3420
115,1.1333333253860474,0.7302967309951782,2.0,3450
116,0.9333333373069763,0.7849152088165283,2.0,3480
117,0.8999999761581421,0.661763608455658,2.0,3510
118,1.2333333492279053,0.6789105534553528,2.0,3540
119,0.8999999761581421,0.8030115365982056,2.0,3570
120,0.9666666388511658,0.6686751246452332,2.0,3600
121,1.100000023841858,0.7119666934013367,2.0,3630
122,1.2000000476837158,0.8051558136940002,2.0,3660
123,0.8999999761581421,0.7588557600975037,2.0,3690
124,1.1666666269302368,0.8339079022407532,2.0,3720
125,0.9333333373069763,0.6914917826652527,2.0,3750
126,1.100000023841858,0.8030115365982056,2.0,3780
127,1.1666666269302368,0.7914776802062988,2.0,3810
128,1.0666667222976685,0.7396799921989441,2.0,3840
129,0.9333333373069763,0.8276818990707397,2.0,3870
130,1.1333333253860474,0.7302967309951782,2.0,3900
131,1.5666667222976685,0.7279320359230042,3.0,3930
132,1.2000000476837158,0.7143842577934265,2.0,3960
133,1.2666666507720947,0.7849152088165283,2.0,3990
134,1.1333333253860474,0.9371024966239929,2.0,4020
135,1.2333333492279053,0.7738544344902039,2.0,4050
136,0.9666666388511658,0.808716893196106,2.0,4080
137,0.9666666388511658,0.8899179697036743,3.0,4110
138,1.2333333492279053,0.7738544344902039,2.0,4140
139,1.1666666269302368,0.698931872844696,2.0,4170
140,1.0333333015441895,0.808716893196106,2.0,4200
141,1.0333333015441895,0.808716893196106,2.0,4230
142,0.699999988079071,0.7497125267982483,2.0,4260
143,1.1333333253860474,0.8603662252426147,2.0,4290
144,1.1333333253860474,0.6814453601837158,2.0,4320
