#{"t_start": 1774703664.5630655, "env_id": "ALE/Breakout-v5"}
r,l,t
5.0,329,583.526007
3.0,249,584.680182
2.0,189,585.332018
4.0,303,586.392774
3.0,250,587.28733
4.0,301,588.353132
5.0,336,589.541162
1.0,161,590.633235
5.0,347,591.88133
3.0,212,592.62415
3.0,251,593.512923
2.0,205,594.242219
4.0,297,595.819836
3.0,257,597.231857
3.0,243,598.083537
4.0,278,599.552384
2.0,207,600.277515
7.0,419,601.771768
3.0,255,602.677802
4.0,266,603.61769
6.0,397,604.993935
1.0,158,605.552606
3.0,226,606.339848
3.0,248,608.003942
3.0,255,609.298653
4.0,314,610.629827
4.0,300,611.68851
5.0,316,612.805364
1.0,164,613.405986
5.0,312,614.498703
4.0,297,616.017899
5.0,325,617.179539
3.0,240,618.013432
1.0,158,618.563591
4.0,286,619.547594
5.0,308,620.915186
4.0,284,622.375408
0.0,125,623.026865
2.0,199,623.730666
6.0,359,625.480123
3.0,251,626.381173
2.0,188,627.045527
4.0,303,628.085809
3.0,249,628.944852
0.0,138,629.416781
3.0,245,630.255498
4.0,281,631.228912
1.0,155,632.287076
2.0,205,633.0778
4.0,306,634.638101
2.0,200,635.754146
3.0,261,636.680892
1.0,158,637.289026
3.0,252,638.140821
4.0,292,642.005123
6.0,364,643.848406
5.0,336,645.051647
5.0,296,646.269633
4.0,276,647.705349
2.0,199,648.820867
4.0,260,649.744698
3.0,229,650.553437
4.0,313,651.663609
4.0,263,653.156144
2.0,214,653.916672
4.0,299,654.983007
7.0,390,656.377994
4.0,278,657.361932
4.0,310,658.444444
7.0,413,660.987839
2.0,233,662.025916
4.0,268,662.981646
6.0,385,664.335742
5.0,355,665.591453
2.0,222,666.357061
5.0,347,667.563471
5.0,353,669.326159
4.0,277,670.266963
1.0,183,670.908376
1.0,187,671.54836
2.0,207,672.612332
12.0,511,675.088492
7.0,413,676.534308
7.0,443,678.556152
4.0,317,679.661037
1.0,157,680.230685
5.0,360,681.482368
5.0,309,682.573964
7.0,433,684.121347
8.0,301,686.057905
4.0,258,687.411276
5.0,318,688.531522
2.0,182,689.176223
5.0,293,690.181342
1.0,162,690.733154
8.0,318,691.785322
2.0,189,692.424224
9.0,417,694.295427
4.0,285,695.27108
4.0,249,696.108346
5.0,334,697.211654
8.0,468,699.361999
7.0,412,701.055887
1.0,161,702.083781
2.0,191,702.749782
4.0,284,703.724666
4.0,280,704.676018
3.0,216,705.412942
4.0,287,706.361622
5.0,350,707.529545
6.0,392,709.297978
9.0,478,711.177309
4.0,267,712.513142
6.0,353,713.899323
8.0,335,715.074013
2.0,206,715.76399
6.0,391,717.604201
4.0,268,718.520942
3.0,252,719.387237
3.0,266,720.300621
5.0,329,721.412402
1.0,181,722.018337
8.0,304,723.08581
7.0,383,725.595085
5.0,308,726.767586
4.0,313,727.852286
10.0,503,729.586118
2.0,213,730.307307
4.0,287,731.289393
