#{"t_start": 1774687142.1115823, "env_id": "None"}
r,l,t
0.0,6,11.617603
0.0,6,11.627522
1.0,16,11.65383
0.0,6,11.666965
0.0,6,11.680007
0.0,6,11.696002
1.0,16,11.723125
0.0,6,11.733581
0.0,6,11.743968
0.0,6,11.754422
0.0,6,11.764818
1.0,16,11.792676
0.0,6,11.805242
1.0,16,11.832748
0.0,6,11.843208
0.0,6,11.853668
0.0,6,11.865504
0.0,6,11.879329
0.0,6,11.892845
0.0,6,11.905485
1.0,16,11.932706
0.0,6,11.943168
0.0,6,11.953617
0.0,6,11.964212
1.0,16,11.993816
1.0,16,12.026905
0.0,6,12.037257
0.0,6,12.047499
2.0,28,12.096295
0.0,6,12.109065
0.0,6,12.120074
0.0,6,12.1309
0.0,6,12.141909
0.0,6,12.152216
0.0,6,12.162837
0.0,6,12.178763
0.0,6,12.192288
0.0,6,12.205568
0.0,6,12.21621
1.0,16,12.244526
0.0,6,12.254447
0.0,6,12.264556
0.0,6,12.274456
1.0,16,12.300763
0.0,6,12.312609
0.0,6,12.322452
1.0,16,12.353222
0.0,6,12.364742
0.0,6,12.377043
3.0,38,12.451769
0.0,6,12.466102
0.0,6,12.482082
0.0,6,12.49653
0.0,6,12.509734
0.0,6,12.523571
0.0,6,12.535055
0.0,6,12.546231
0.0,6,12.556369
0.0,6,12.566732
0.0,6,12.578849
0.0,6,12.594021
1.0,16,12.631407
1.0,16,12.658666
1.0,16,12.685981
0.0,6,12.696305
1.0,16,12.726223
0.0,6,12.736174
0.0,6,12.74658
0.0,6,12.756548
0.0,6,12.767271
0.0,6,12.780573
0.0,6,12.793925
0.0,6,12.805388
1.0,16,12.834841
0.0,6,12.845079
0.0,6,12.855399
0.0,6,12.865746
0.0,6,12.876075
1.0,16,12.903126
0.0,6,12.913492
1.0,16,12.944011
0.0,6,12.954938
1.0,16,12.983053
0.0,6,12.994073
0.0,6,13.00487
2.0,26,13.050842
0.0,6,13.061111
1.0,16,13.100536
0.0,6,13.111618
1.0,16,13.141936
0.0,6,13.152602
0.0,6,13.162971
1.0,16,13.191367
0.0,6,13.201685
1.0,16,13.233701
0.0,6,13.244604
1.0,16,13.273383
0.0,6,13.284005
0.0,6,13.294667
0.0,6,13.305018
0.0,6,13.315391
0.0,6,13.325919
2.0,28,13.379759
0.0,6,13.39242
0.0,6,13.404772
0.0,6,13.41542
0.0,6,13.425997
0.0,6,13.438297
1.0,16,13.466841
1.0,16,13.494256
0.0,6,13.504302
0.0,6,13.514253
0.0,6,13.524066
1.0,16,13.55277
0.0,6,13.562669
0.0,6,13.572809
1.0,16,13.599294
0.0,6,13.609276
0.0,6,13.62308
0.0,6,13.64237
0.0,6,13.653343
0.0,6,13.66364
3.0,38,13.741935
0.0,6,13.752239
0.0,6,13.76285
0.0,6,13.77332
0.0,6,13.783721
0.0,6,13.794561
0.0,6,13.804895
0.0,6,13.815682
0.0,6,13.826
0.0,6,13.836387
0.0,6,13.848771
0.0,6,13.859491
0.0,6,13.870022
1.0,16,13.897475
0.0,6,13.907828
0.0,6,13.918073
1.0,16,13.948496
1.0,16,13.985149
1.0,16,14.021669
0.0,6,14.032159
0.0,6,14.042865
1.0,16,14.073556
0.0,6,14.084241
1.0,16,14.111963
0.0,6,14.122143
1.0,16,14.151605
2.0,26,14.197336
0.0,6,14.207607
0.0,6,14.218321
0.0,6,14.230205
0.0,6,14.241157
2.0,28,14.300489
0.0,6,14.311074
2.0,28,14.361165
0.0,6,14.371429
0.0,6,14.381633
0.0,6,14.39152
0.0,6,14.40149
0.0,6,14.411376
1.0,16,14.437879
0.0,6,14.447831
0.0,6,14.459868
0.0,6,14.471611
1.0,16,14.498337
0.0,6,14.50822
1.0,16,14.534554
0.0,6,14.544416
0.0,6,14.554618
2.0,26,14.609207
0.0,6,14.619529
1.0,16,14.648218
0.0,6,14.667776
0.0,6,14.682126
1.0,16,14.709394
0.0,6,14.719553
0.0,6,14.729828
0.0,6,14.740263
1.0,16,14.76971
0.0,6,14.780193
0.0,6,14.790795
0.0,6,14.801021
0.0,6,14.810982
1.0,16,14.837874
0.0,6,14.847795
0.0,6,14.857982
2.0,28,15.123292
1.0,16,15.153363
1.0,16,15.190975
0.0,6,15.205334
2.0,26,15.251347
1.0,16,15.280483
0.0,6,15.290377
1.0,16,15.317048
1.0,16,15.343646
0.0,6,15.353568
0.0,6,15.363487
0.0,6,15.373617
1.0,16,15.402194
1.0,16,15.428798
0.0,6,15.43876
1.0,16,15.466105
1.0,16,15.506844
0.0,6,15.518016
0.0,6,15.527893
0.0,6,15.537823
0.0,6,15.547611
0.0,6,15.557675
1.0,16,15.584377
0.0,6,15.596854
0.0,6,15.607253
0.0,6,15.61773
0.0,6,15.628372
0.0,6,15.638685
1.0,16,15.665835
0.0,6,15.677444
0.0,6,15.695905
0.0,6,15.711006
0.0,6,15.721222
1.0,16,15.749662
0.0,6,15.759502
0.0,6,15.76941
1.0,16,15.806107
0.0,6,15.816382
0.0,6,15.826455
0.0,6,15.84083
0.0,6,15.855971
1.0,16,15.893193
1.0,16,15.932982
0.0,6,15.947071
2.0,26,16.002063
0.0,6,16.016167
0.0,6,16.027063
1.0,16,16.054635
0.0,6,16.064991
0.0,6,16.075951
0.0,6,16.086224
0.0,6,16.096873
0.0,6,16.10712
2.0,26,16.153831
0.0,6,16.164484
0.0,6,16.174906
0.0,6,16.185966
0.0,6,16.196438
0.0,6,16.20689
2.0,26,16.259875
0.0,6,16.269813
0.0,6,16.282172
0.0,6,16.295498
1.0,16,16.330736
0.0,6,16.341141
0.0,6,16.351266
1.0,16,16.379578
1.0,16,16.406777
0.0,6,16.419103
1.0,16,16.446363
1.0,16,16.474689
2.0,28,16.53268
1.0,16,16.559899
1.0,16,16.587042
1.0,16,16.613499
0.0,6,16.625697
0.0,6,16.635796
0.0,6,16.646006
0.0,6,16.65632
2.0,26,16.700364
0.0,6,16.711662
1.0,16,16.754291
1.0,16,16.782483
1.0,16,16.815817
0.0,6,16.825948
0.0,6,16.838098
0.0,6,16.847919
0.0,6,16.857895
1.0,16,16.884542
0.0,6,16.894633
1.0,16,16.921083
0.0,6,16.932959
2.0,28,16.979863
1.0,16,17.007168
1.0,16,17.035695
0.0,6,17.04562
0.0,6,17.055559
0.0,6,17.065445
0.0,6,17.075566
0.0,6,17.088612
0.0,6,17.103286
0.0,6,17.117066
1.0,16,17.146579
0.0,6,17.156727
0.0,6,17.166995
1.0,16,17.195216
0.0,6,17.205223
0.0,6,17.215784
0.0,6,17.225862
0.0,6,17.239562
0.0,6,17.24996
1.0,16,17.27789
1.0,16,17.305985
1.0,16,17.33339
2.0,28,17.385066
0.0,6,17.399136
0.0,6,17.412534
0.0,6,17.423567
1.0,16,17.454239
2.0,28,17.504992
0.0,6,17.515831
0.0,6,17.525966
0.0,6,17.536322
1.0,16,17.565227
2.0,26,17.610157
0.0,6,17.620661
0.0,6,17.630964
0.0,6,17.64126
0.0,6,17.653298
1.0,16,17.680363
1.0,16,17.716925
0.0,6,17.727576
0.0,6,17.738155
0.0,6,17.755648
0.0,6,17.773006
0.0,6,17.784254
2.0,26,17.828977
0.0,6,17.839284
0.0,6,17.849293
1.0,16,17.878826
0.0,6,17.889081
0.0,6,17.899327
0.0,6,17.909683
0.0,6,17.920079
0.0,6,17.930311
0.0,6,17.940853
1.0,16,17.970003
0.0,6,17.980943
0.0,6,17.998442
1.0,16,18.033145
