run_name,run_dir,method,env,seed,final_score
ppo_atari_seed2_1774702596,results/ppo_atari_seed2_1774702596,ppo,atari,2,0.0
ga_minatar_seed1_1774688681,results/ga_minatar_seed1_1774688681,ga,minatar,1,0.0
ga_atari_seed1_1774745277,results/ga_atari_seed1_1774745277,ga,atari,1,0.0
ga_minatar_seed3_1774688932,results/ga_minatar_seed3_1774688932,ga,minatar,3,0.0
nes_minatar_seed0_1774693450,results/nes_minatar_seed0_1774693450,nes,minatar,0,0.0
sb3_dqn_minatar_seed4_1774680818,results/sb3_dqn_minatar_seed4_1774680818,sb3_dqn,minatar,4,5.4
ddqn_minatar_seed2_1774678307,results/ddqn_minatar_seed2_1774678307,ddqn,minatar,2,4.4
sb3_dqn_atari_seed1_1774698398,results/sb3_dqn_atari_seed1_1774698398,sb3_dqn,atari,1,8.0
ddqn_minatar_seed4_1774678877,results/ddqn_minatar_seed4_1774678877,ddqn,minatar,4,4.4
sb3_dqn_minatar_seed0_1774679161,results/sb3_dqn_minatar_seed0_1774679161,sb3_dqn,minatar,0,6.7
nes_minatar_seed0_1774677723,results/nes_minatar_seed0_1774677723,nes,minatar,0,0.0
ddqn_atari_seed0_1774694118,results/ddqn_atari_seed0_1774694118,ddqn,atari,0,24.666666666666668
sb3_ppo_minatar_seed2_1774686233,results/sb3_ppo_minatar_seed2_1774686233,sb3_ppo,minatar,2,3.8
sb3_dqn_minatar_seed2_1774679994,results/sb3_dqn_minatar_seed2_1774679994,sb3_dqn,minatar,2,7.3
ddqn_minatar_seed0_1774677689,results/ddqn_minatar_seed0_1774677689,ddqn,minatar,0,0.6
nes_minatar_seed0_1774687838,results/nes_minatar_seed0_1774687838,nes,minatar,0,1.4
ppo_minatar_seed1_1774683946,results/ppo_minatar_seed1_1774683946,ppo,minatar,1,5.0
sb3_dqn_atari_seed2_1774699732,results/sb3_dqn_atari_seed2_1774699732,sb3_dqn,atari,2,10.666666666666666
ddqn_minatar_seed0_1774693414,results/ddqn_minatar_seed0_1774693414,ddqn,minatar,0,0.6
sb3_ppo_minatar_seed3_1774686692,results/sb3_ppo_minatar_seed3_1774686692,sb3_ppo,minatar,3,4.7
sb3_ppo_minatar_seed0_1774685344,results/sb3_ppo_minatar_seed0_1774685344,sb3_ppo,minatar,0,5.0
sb3_ppo_atari_seed0_1774703664,results/sb3_ppo_atari_seed0_1774703664,sb3_ppo,atari,0,6.333333333333333
ppo_minatar_seed0_1774693427,results/ppo_minatar_seed0_1774693427,ppo,minatar,0,0.6
ga_minatar_seed0_1774688557,results/ga_minatar_seed0_1774688557,ga,minatar,0,0.6
nes_minatar_seed2_1774688111,results/nes_minatar_seed2_1774688111,nes,minatar,2,1.6
