#{"t_start": 1774679994.174659, "env_id": "None"}
r,l,t
1.0,16,2.508946
0.0,6,2.509557
0.0,6,2.510061
2.0,28,2.512522
1.0,16,2.517358
0.0,6,2.518467
0.0,6,2.519373
0.0,6,2.52045
1.0,16,2.526307
0.0,6,2.527324
0.0,6,2.528467
0.0,6,2.52946
1.0,16,2.535714
1.0,16,2.538582
0.0,6,2.539843
0.0,6,2.540971
0.0,6,2.546195
0.0,6,2.547166
0.0,6,2.548479
0.0,6,2.551998
0.0,6,2.554938
0.0,6,2.555574
1.0,16,2.558482
0.0,6,2.559214
1.0,16,2.56295
0.0,6,2.563979
0.0,6,2.567
0.0,6,2.568014
0.0,6,2.572545
0.0,6,2.573454
0.0,6,2.574477
0.0,6,2.575328
1.0,16,2.580728
2.0,26,2.584497
0.0,6,2.585459
0.0,6,2.586519
1.0,16,2.594662
0.0,6,2.595657
0.0,6,2.596736
0.0,6,2.597883
1.0,16,2.602116
0.0,6,2.602885
1.0,16,2.60447
1.0,16,2.60605
0.0,6,2.609431
0.0,6,2.610239
0.0,6,2.610925
0.0,6,2.611753
0.0,6,2.615058
0.0,6,2.615858
0.0,6,2.61648
1.0,16,2.618207
0.0,6,2.621712
0.0,6,2.622414
1.0,16,2.624115
0.0,6,2.624863
0.0,6,2.628196
0.0,6,2.628966
0.0,6,2.629649
0.0,6,2.630399
0.0,6,2.633868
0.0,6,2.634825
1.0,16,2.636704
0.0,6,2.637369
1.0,16,2.641954
1.0,16,2.643681
1.0,16,2.645451
0.0,6,2.646245
1.0,16,2.650751
0.0,6,2.651498
0.0,6,2.652305
1.0,16,2.654127
1.0,16,2.659074
1.0,16,2.661149
0.0,6,2.666305
1.0,16,2.669791
0.0,6,2.675768
0.0,6,2.677064
1.0,16,2.681808
0.0,6,2.683222
0.0,6,2.68893
0.0,6,2.690417
0.0,6,2.691799
0.0,6,2.693349
0.0,6,2.698565
0.0,6,2.699935
1.0,16,2.704155
0.0,6,2.705302
0.0,6,2.711183
0.0,6,2.712434
0.0,6,2.71367
2.0,28,2.719017
0.0,6,2.724077
0.0,6,2.726943
0.0,6,2.728022
0.0,6,2.729151
0.0,6,2.734401
0.0,6,2.735492
1.0,16,2.738293
0.0,6,2.739457
0.0,6,2.744309
0.0,6,2.745573
0.0,6,2.746817
1.0,16,2.749686
0.0,6,2.754299
1.0,16,2.756809
0.0,6,2.757934
0.0,6,2.75896
0.0,6,2.763663
0.0,6,2.76469
0.0,6,2.765938
0.0,6,2.768904
0.0,6,2.779743
